,Hour,Day,Month,Electricity [MWh],PV [MWh],Price,Peak,CO2
323,11,14,January,0.07870365269387883,0.02458502975323933,0.2324,Peak,375.5418835778514
324,12,14,January,0.10451869165372854,0.0056446749898496325,0.2324,Peak,377.18252090235046
325,13,14,January,0.0776732594656635,0.004153718126026853,0.2324,Peak,372.424672661303
326,14,14,January,0.07595748579540987,0.0027491802425364397,0.2324,Peak,377.18252090235046
327,15,14,January,0.06998455080375357,0.002587230632604257,0.2324,Peak,388.0107272440448
328,16,14,January,0.06738543977416797,0.0,0.2324,Peak,403.9249092916864
329,17,14,January,0.06426749800769224,0.0,0.2324,Peak,425.9094494399748
330,18,14,January,0.09841847617367344,0.0,0.2324,Peak,448.2221170531629
331,19,14,January,0.131508488076307,0.0,0.2324,Peak,460.8550244518063
332,20,14,January,0.06252797187281983,0.0,0.2324,Peak,463.3159804385549
333,21,14,January,0.05696059355236676,0.0,0.2324,Peak,458.23000473260765
334,22,14,January,0.04140217562769544,0.0,0.2324,Peak,450.19088184256185
335,23,14,January,0.03467431301445412,0.0,0.2187,Off-Peak,427.22195929957405
336,0,15,January,0.03121104998510155,0.0,0.2187,Off-Peak,396.54204133144026
337,1,15,January,0.02787251741237356,0.0,0.2187,Off-Peak,363.40116737655785
338,2,15,January,0.02921688682610628,0.0,0.2187,Off-Peak,345.35415680706734
339,3,15,January,0.029248217362712037,0.0,0.2187,Off-Peak,331.5728032812746
340,4,15,January,0.028516681283880917,0.0,0.2187,Off-Peak,327.143082505127
341,5,15,January,0.031793798517473014,0.0,0.2187,Off-Peak,327.79933743492666
342,6,15,January,0.06880589329751115,0.0,0.2324,Peak,334.5259504653731
343,7,15,January,0.07542208597691485,0.0,0.2324,Peak,366.02618709575637
344,8,15,January,0.1008952786643878,0.0,0.2324,Peak,380.62785928379867
345,9,15,January,0.07936491901273206,0.02577312113224638,0.2324,Peak,382.10443287584786
346,10,15,January,0.07683951173968577,0.07229566121363826,0.2324,Peak,376.69032970500086
347,11,15,January,0.07506928469358705,0.008483292610140141,0.2324,Peak,375.5418835778514
348,12,15,January,0.10248788308483904,0.006570159293014122,0.2324,Peak,377.18252090235046
349,13,15,January,0.07525474024661913,0.024259087432026788,0.2324,Peak,372.424672661303
350,14,15,January,0.07405027916295084,0.02060053550603191,0.2324,Peak,377.18252090235046
351,15,15,January,0.06767466327866722,0.0,0.2324,Peak,388.0107272440448
352,16,15,January,0.06297899678907465,0.0,0.2324,Peak,403.9249092916864
353,17,15,January,0.06182671864100098,0.0,0.2324,Peak,425.9094494399748
354,18,15,January,0.09663681277413716,0.0,0.2324,Peak,448.2221170531629
355,19,15,January,0.12993013702344547,0.0,0.2324,Peak,460.8550244518063
356,20,15,January,0.062401556377566565,0.0,0.2324,Peak,463.3159804385549
357,21,15,January,0.05716294469432029,0.0,0.2324,Peak,458.23000473260765
358,22,15,January,0.04261777973025955,0.0,0.2324,Peak,450.19088184256185
359,23,15,January,0.037753672387673486,0.0,0.2187,Off-Peak,427.22195929957405
360,0,16,January,0.031141531010742574,0.0,0.2187,Off-Peak,396.54204133144026
361,1,16,January,0.027714316412870182,0.0,0.2187,Off-Peak,363.40116737655785
362,2,16,January,0.029225100508638486,0.0,0.2187,Off-Peak,345.35415680706734
363,3,16,January,0.02936596334352701,0.0,0.2187,Off-Peak,331.5728032812746
364,4,16,January,0.028790059467837636,0.0,0.2187,Off-Peak,327.143082505127
365,5,16,January,0.033110451520949324,0.0,0.2187,Off-Peak,327.79933743492666
366,6,16,January,0.07197985539811562,0.0,0.2324,Peak,334.5259504653731
